ws_code,min_termination,min_duration,min_intensity_day,min_intensity_day_during,max_recessiondays
1,72,24,7.2,7.2,8
2,72,24,7.2,7.2,8
3,72,24,7.2,7.2,8
4,48,24,4.8,4.8,8
5,48,24,4.8,4.8,8
6,48,24,4.8,4.8,8
7,48,24,4.8,4.8,8
8,48,24,4.8,4.8,8
9,48,24,2.4,2.4,8
10,48,24,2.4,2.4,8
11,48,24,2.4,2.4,8
12,72,24,4.8,4.8,8
13,72,24,4.8,4.8,8
14,48,24,4.8,4.8,8
18,48,24,9.6,9.6,8
20,48,24,4.8,4.8,8
22,48,24,4.8,4.8,8
26,48,24,4.8,4.8,8
27,72,24,4.8,4.8,8
28,72,24,4.8,4.8,8
30,48,24,4.8,4.8,8
36,48,24,4.8,4.8,8
39,48,24,4.8,4.8,8
90,48,24,4.8,4.8,8
